text,aspect,label,label_id,gold_label
sakın almayın böyle ava kazağımi olur ilk giymemde daha yıkamadan bile tüylenme yaptı az daha her renginden birer tane alacaktım ava kalitesi dedik çakma çıktı günde yan ve göbek tarafında tiftiklendi hep,fabric_quailty,negative,0,negative
ürün kalitesi iyi değil popo ve diz hemen iz yapti,fabric_quailty,negative,0,negative
aşırı ince iç gösteriyor kağıt gibi,fabric_quailty,negative,0,negative
ürünün çoklu satilan ve tekli satılan arasinda kumaş farkli var tekli aldığımız yumuşacıkken coklu aldığımız sert bir kumas ayrica durmadan fiyat degisiyor çok can sıkıcı etiketlerini koparmış olmasak iade ederdim fotografta sağdaki tekli aldığımız soldaki ise coklu aldığımız kumas kalitesi ve renk tonu farklı kodlar arasinda da fark var,fabric_quailty,negative,0,negative
ürün kalitesi iyi de düz paça diye aldık lastik paça geldi,fabric_quailty,negative,0,positive
ürünü indirimden aldım kumaşı sert beğenmedim,fabric_quailty,negative,0,negative
ürünü metalik gri sipariş ettim siyah gönderdiler demek siyah sipariş versem mor gönderecekler kalite tarafında da ciddi sıkıntılar var yorumlara bakarak aldım ama hata yapmışım ben bir daha almam sen de almadan önce iyi düşün,fabric_quailty,negative,0,negative
kumaşı çok kalitesiz çıktı ilk giyişte yırtıldı,fabric_quailty,negative,0,negative
her zaman almış olduğum altınyıldız kalitesinde değildi malesef altınyıldız bozmuş kalitesine yakışmayan kumaş her zaman tişörtlerimi altınyıldızdan alırdım bidaha alırmıyım bilmiyorum,fabric_quailty,negative,0,negative
çok ince kalitesini hiç beğenmedim,fabric_quailty,negative,0,negative
çok kalitesiz almayınız,fabric_quailty,negative,0,negative
birkaç yıkamadan sonra çekiyor küçücük kalıyor hiç kaliteli değil,fabric_quailty,negative,0,negative
ceplerde fermuarı yok bide çok ince pasif bir ürün,fabric_quailty,negative,0,negative
diğerleri ile aynı kalitede gelmedi memnun değilim,fabric_quailty,negative,0,negative
çok ince bir kazak,fabric_quailty,negative,0,negative
hiç övüldüğü gibi değil maalesef cinsi ince ve çok parlak geldi bana alt kısmı da biraz dar bence tam istediğim o i spanyol paça görüntüsü gibi durmadı bende,fabric_quailty,negative,0,negative
kaliteyi çok düşürmüşlee geçen sene aldığım çok çok iyiydi bu aldığım hemen kabardı malesef çöp,fabric_quailty,negative,0,negative
beş para etmez incecik ve dikiş yerlerinde hatalar var,fabric_quailty,negative,0,negative
ürün kaliteli zaten ama slim fit olmasına rağmen m bedeni xl gibi beklentimi karsilamadi,fabric_quailty,negative,0,positive
görseldekiyle gelen ürünün hiç alakası yok çok kalitesiz ve berbat bir ürün pazardan alsanız daha kaliteli olur uzak durun,fabric_quailty,negative,0,negative
devamlı kullandığım tshirt ama bu kalite geldi,fabric_quailty,negative,0,negative
kendi bedenim m aldım ama aşırı büyük geldi kumaş kalitesi iyiydi dikişler kalitesiz di potluk vardı i nstagram gerçek mutfak önerisi ile almıştım ama hiç memnun kalmadım maalesef iade edildi,fabric_quailty,negative,0,positive
incecik kumaşı var çok kötü kumaşı kalitesi,fabric_quailty,negative,0,negative
ürün ince s beden bel boyu uzun geldi karın kısmı güzel durmadı katlandı boy kg göbek yok,fabric_quailty,negative,0,negative
daha önce defalarca kez aldığım ürün bu gelişinde maalesef önceli kalitesinde gelmedi hiç tok bir kumaşı yoktu dağılan bir kumaşı vardı önceki kalitesi yoktu maalesef,fabric_quailty,negative,0,negative
çok ince bir kumaş pantolon geldi parama yazık oldu,fabric_quailty,negative,0,negative
eskiden bu ürünün bir kalitesi vardı kumaşı çok güzeldi dikisleri ozenliydi kalıpları cuk olurdu şimdi kalıp saçma kumaş leş gibi kokuyor dikişler kötü ilk çıktığında aldığım ürünlerle bu son ürünlerin arasında dağlar kadar kalite farkı var en son urun aldım sini iade ettim kalanı da ihtiyacım olduğundan veremedin o da çok iyi değil bence almayın marka kendi kendini bozdu ya eskisi gibi özüne dönmeli ya da satışları olmamalı üzülerek söylüyorum bir marka niye kendini bunu yapar acaba,fabric_quailty,negative,0,negative
malzeme kalitesi kötü,fabric_quailty,negative,0,negative
kesinlikle avva kalitesine yakışmayan bir ürün i lk yıkamada saldı ve ilk giymede bitlendi,fabric_quailty,negative,0,negative
ürün bedeni çok küçük iki adet xxl aldım biri mor biri pembe olan mor olan en az beden küçük resimleri ekledim inceleyen görür altınyıldız marka adına hiç yakışmamış,fabric_quailty,negative,0,negative
asla abartıldığı kadar değil hatta muadil falan hiç değil zor kuruyan bir kumaşı var spora uygun değil boy kilo l beden bol geldi k alsam olurmuş,fabric_quailty,negative,0,negative
saçma sapan bir beden yapısı var kazak boyu kısa beden büyük renk aldım ikisinin dokusu da birbirinden farklı yumuşak bile değil,fabric_quailty,negative,0,negative
ürün kumaşı güzel ancak beden baya rahat kalıp bir beden küçük alın,fabric_quailty,neutral,1,positive
ürün güzel fakat m beden sipariş verdim s beden ebatinda m beden yapmışlar kardeşimin kullandığı altin yıldız polo yaka s bedenle karşılaştırdim ebat aynısı ürün kaliteli ona diyecek birsey yok lakin bedeni düzgün olmadıktan sonra istediği kadar kaliteli olsun iade edeceğim,fabric_quailty,neutral,1,positive
çok ince ve dar kumaşıda terletir,fabric_quailty,neutral,1,negative
geniş paça almama rağmen dar paça gönderildi neyse iade ile uğraşmadım giydim fakat kumaşı öyle kötüymüş ki tiftik tiftik oldu paça tarafı pütür pütür oldu fotoğraflarda görebilirsiniz hiç memnun kalmadım hiç beğenmedim bu mağduriyeti nasıl gidereceksiniz merak ediyorum çünkü az buz para değil,fabric_quailty,neutral,1,negative
kumaş kalitesini pek beğenmedim polyester oranı biraz yüksek fiyata göre idare eder,fabric_quailty,neutral,1,negative
çok begenemedim bence kumaşı falan kaliteli değil,fabric_quailty,neutral,1,negative
biraz ince kumaşı onun haricinde güzel,fabric_quailty,neutral,1,negative
hersey ne kadar abartiliyor anlamiyorum ne kalitesi ne kesimi ne fiyati uygun belki ilk basta kalitelidir bilemem ama suan gonderilen urun maalesef vasat,fabric_quailty,neutral,1,negative
ürün çok ince kalıbı dar,fabric_quailty,neutral,1,negative
bu alışım en sevdiğim en rahat jogger ancak her seferinde kumaş biraz daha incelmiş oluyor aldığım ilkinden daha çabuk tüylendi lütfen kaliteyi düşürmeyin kargo yavaştı paketleme her zamanki gibi güzel,fabric_quailty,neutral,1,negative
her rengi var bemde ama bu engelmiş kumaşı köyü geldi incecik çamaşırınızı çok belli ediyor pek beğenmedim,fabric_quailty,neutral,1,negative
ürün çok ince iç belli ediyor antrasit aldım ve çok dar oldu m beden aldım boyuda baya uzun oldu k boy iade edip siyah alıcam l beden alıp kestiririm boyunu iç belli etmez umarım kalitesi çok güzel,fabric_quailty,neutral,1,negative
kumaşı fena değil ama dikişleri çok kalitesiz i ndirimden uyguna aldığım için iade etmiyorum,fabric_quailty,neutral,1,neutral
model güzel günlük kullanımda ev ici kullanılabilir ancak kumaşı çok ince,fabric_quailty,neutral,1,negative
üzgünüm ama hiç de öyle ekstra yumuşak bi hali yok,fabric_quailty,neutral,1,negative
rengi kalitesi iyi kullanmaya başladık,fabric_quailty,neutral,1,positive
i çinden beyaz iplikler çıktı kaliteli duruyordu aslında,fabric_quailty,neutral,1,neutral
duz bir tisort hicbir ayricaligi yok insan bir isim yazar markayi belirtir yani bildiginiz duz kumasi kaliteli beden guzel ama boyum olmasina ragmen bi tik uzun kaldi yaka kismi bir kac kullanimdan sonra yuvarlaniyor giydiginde toparlaniyor duz kalsaydi daha iyi olurdu ama bu tur elbiseler en fazla iki gun giyildigi icin o kadar sorun olmuyor,fabric_quailty,neutral,1,positive
çok kaliteli değil koku yapacak bir kumaş görüntüsü güzel fakat terletiyor,fabric_quailty,neutral,1,negative
bence kaliteli değil hemen tüylendi saçma sapan bi hal aldı dikişleride yamuk gibi,fabric_quailty,neutral,1,negative
orta kalitede bir ürün fiyatına göre de ancak orta dereceli olabilir yüksek beklentisi olan tercih etmesin gündelik olarak alınabilecek bir ürün,fabric_quailty,neutral,1,neutral
eh işte çok kaliteli bir tayt değil birkaç kere yıkandı yıpranmaya başladı,fabric_quailty,neutral,1,neutral
kuponla ve indirimli olarak aldım fiyat kaliteyi karşılamadı kuponum olmasa bu fiyata asla almam,fabric_quailty,neutral,1,negative
kumaşı polyester ağırlıklı sağlıksız ve terleten bir kumaş,fabric_quailty,neutral,1,negative
fiyatına göre normal çok kaliteli bir ürün beklemeyin pamuklanma yapıyor kalın değil idare eder dışarda giymek için uygun değil evde kallanın için uygun,fabric_quailty,neutral,1,neutral
sanki eski kalitesi yok kumaşını bu sefer beğenmedim,fabric_quailty,neutral,1,negative
istediğim renk gelmedi geri göndermekle de ugraşmıycam ama ürün kaliteli dogruya dogru,fabric_quailty,neutral,1,positive
kendi bedeninizi alın kumaşı güzel ben bir büyük beden aldığımdan büyük geldi iade ettim,fabric_quailty,neutral,1,positive
ürün dikişleri güzel olmamış kumaş da yazın giyilmez yakar kumaşı sadece kesim güzel,fabric_quailty,neutral,1,negative
kumaşı iyi değil,fabric_quailty,neutral,1,negative
orta kalite çok iyi değil fiyatı ucuz olduğundan aldım,fabric_quailty,neutral,1,neutral
kumaş ve kalite çok iyi ben adet m beden aldım ancak beyaz rengi diğer renklere göre büyük geldi muhtemelen bedeni l bedendi ancak etiketini yanlış dikmişler diye düşünerek değişim talebinde bulundum bunu satıcıya izah ettim ve başka bir m beden göndermelerini istedim ancak ürünü değiştirmek yerine iade olarak kabul ettiler problem şu ki ben onu uygun bir fiyata almıştım şimdiyse fiyatı artmış durumdaydı allah tan hepsiburada yetkililere süreci çok iyi bir şekilde yönetip bana kupon tanımladılar ve aynı fiyata m bedenini tekrar aldım ve tahminim doğru çıktı ürün yanlış etiketlenmiş hepsiburada ya teşekkür ederim bu yaklaşımlarından dolayı altınyıldıza ise size gönderilen ürünlerin açıklamasını okumanızı tavsiye ederim bir puanıda altınyıldız nedeniyle kırdım,fabric_quailty,neutral,1,positive
çok kalın değil i nce sayılmaz fena değil orta kalite,fabric_quailty,neutral,1,neutral
sarımtırak rengini aldım mormal gri rengi geldi resimdekiyle aynı renk değil kumaşı güzel,fabric_quailty,neutral,1,positive
kumaşın sevemedim pek yazın çok sıcak oluyor kışın da üşüyorsun mevsimlik gibi merasiminde kısa olduğu bir ülkede çok kullanamadım hemen iplik de attı tüylenme de yaptı bende spor bir markanın on yıllık belki var yeni gibi duruyor o,fabric_quailty,neutral,1,negative
modeli rengi sarması çok güzel ama kumaş kalitesiz biraz yürüyün spor yapıyım deyince hemen terletiyor sanki,fabric_quailty,neutral,1,negative
boy kg normalde herşeyi m beden alırım tam olur ama maalesef bol geldi iade kumaşı güzel kaliteli fakat ince ama iç göstermiyor bir beden küçük alınmalı tayt gibi toparlamasını istiyorsanız,fabric_quailty,neutral,1,neutral
yıl önce aldığım eşofman altından aşırı memnun kaldığım için tekrar sipariş verdim ama ne o kumaş kalitesinden ne de dikiş düzgünlüğünden eser yok ülkedeki her şeyin kalitesi azalıyor maalesef,fabric_quailty,neutral,1,negative
rahatlığına olması iyi esnek fakat kumaş çok ince bende biraz daha tok bi kumaşı olabilirdi birde biyere değdiği zaman hemen ipleri çekiliyor çok hassas,fabric_quailty,neutral,1,negative
ürünün kalitesi güzel aslında bedeni de iyi gibi ama belindeki ince lastik kısmı o kadar dar ki resmen giyemedim i ade etmek zorunda kaldım,fabric_quailty,neutral,1,positive
i nanılmaz harika bir ürün rengi modeli kumaşı efsane s alırken tereddut etmiştim ama çok guzel oldu esnek çünkü,fabric_quailty,positive,2,positive
ürünler ince yazlık olarak alabilirsiniz ama bu kadar ince olup fiyatı pahalı,fabric_quailty,positive,2,positive
günlük kullanım için güzel giy çık türde bir kazak renk aldım kalitesi de güzel tavsiye ederim,fabric_quailty,positive,2,positive
göründüğü gibi kumaşı da kaliteli,fabric_quailty,positive,2,positive
aşırı güzel kumaşı var tavsiye ederim çok memnun kaldım kaliteli ve güzel,fabric_quailty,positive,2,positive
güzel ürün biraz ince sadece ama duruşu çok güzel tam kalip,fabric_quailty,positive,2,positive
kumaşı çok güzel severek giyiyor eşim için aldım,fabric_quailty,positive,2,positive
geçtiğimiz yıllarda aldigimiz ayni altınyıldız kalitesini bu tişört ye bulamadik i nce yapilive diri durmayan salaş bı kumaş hâli var bu neden böyle anlayamadım doğrusu,fabric_quailty,positive,2,negative
kalite uygun fiyat,fabric_quailty,positive,2,positive
ürünün farklı rengini aldım pamuk polyester bunu bilerek alın özellikle adana mersin antalya gibi hem nemli hem sıcak yerlerde üzerinize yapışır renkler arası kesim farkı var beyaz ve lacivert olanların omuzları düşük geldi ancak diğer renklerin hem boyu hem de omuzları gayet uygun kıvrılmaz yaka özelliği var güzel bir şey renkler çok parlak değil daha soft renkler özellikle mavi pembe yeşil ve gri çok güzel görünüyor biraz orta yaş üstü gibi duruyor çok genç işi değil göğsünde üzerinde herhangi bir logo yazı filan yok böylece kendinizi reklam panosu gibi hissetmiyorsunuz bunu bilerek özellikle tercih ettim ancak yaka düğmelerinin hepsinde altınyıldız yazısı var boy kilogram xl güzel oldu hafif göbekli olduğum için x large tercih ettim kesiminin slim fit olduğunu unutmayın tercihinizi buna göre yapın son olarak altınyıldız kalitesinde olduğunu tahmin ediyorum,fabric_quailty,positive,2,positive
kaliteli bir kazak,fabric_quailty,positive,2,positive
yumuşacık incecik müthiş bir kazak sıcacık tutuyor,fabric_quailty,positive,2,positive
günlük kullanım için gayet güzel çok güzel pamuklu ve kaliteli çok güzel yumuşak bir kumaşı var çok tarz bir ürün tavsiye ederim,fabric_quailty,positive,2,positive
kg xl tam oldu kalite süperrr,fabric_quailty,positive,2,positive
yoruma gerek bile yok aslında çok yumuşak çok kalıteli fiywtta gayet uygun,fabric_quailty,positive,2,positive
bu markanın ürünleri stil çizgisi hoşuma gitti ürünleri kaliteli ve bu hissi de veriyor i ndirim sırasında aldım fiyat performans ürünü diyebilirim tavsiye ederim,fabric_quailty,positive,2,positive
çok rahat ve kaliteli bir ürün teşekkürler harika bir basic tişört,fabric_quailty,positive,2,positive
tam beden kalitesi de çok iyi çok beğendim,fabric_quailty,positive,2,positive
kumaşı kalitesi harika hafif dökümlü çok şık duruyor bedeninizi alabilirsiniz,fabric_quailty,positive,2,positive
kalitesi güzel,fabric_quailty,positive,2,positive
çok iyi kumaşı da güzel kumaşı harika cok begendik tesekkurler,fabric_quailty,positive,2,positive
boy kilo m beden oldu gayet güzel kaliteli bir ürün,fabric_quailty,positive,2,positive
ürün kalıbı çok güzel kumaşı naylon o biraz gıcık edici tam kalıp boy kilo m beden tam oldu s alsam dikişler cırtlayabilir giyerken rahat bir tayt,fabric_quailty,positive,2,negative
kalitesi güzel normalde giydiğiniz bedenden beden büyük alırsanız rahatça giyebilirsiniz i ndirimle çok uygun bir fiyata aldım teşekkürler hb,fabric_quailty,positive,2,positive
boy ve kilo için xs ideal oluyor kumaş kalitesi çok iyi kışın gayet sıcak tutuyor,fabric_quailty,positive,2,positive
kaliteli ucuz,fabric_quailty,positive,2,positive
cm kg large aldım tam bedenime göre oldu gerekli bolluk sıkılıkta kumaşı da çok güzel altınyıldız kalitesi diyorum,fabric_quailty,positive,2,positive
çok kalın değil ama kaliteli bir ürün tavsiye ederim,fabric_quailty,positive,2,positive
bu marka bu fiyata kaliteli olması da cabası teşekkür ederiz,fabric_quailty,positive,2,positive
kumaşı çok güzel kilo eşime xxl aldık çok rahat oldu,fabric_quailty,positive,2,positive
kumaş kalitesi çok güzel ve şık,fabric_quailty,positive,2,positive
gayet güzel fiyatı uygun kalitesi iyi,fabric_quailty,positive,2,positive
dokusu ve görüntüsü çok güzel göründüğü gibi kumaşı da çok güzel çok güzel yumuşacık bir ürün,fabric_quailty,positive,2,positive
tam bedeninizi alabilirsiniz güzel ve kaliteli,fabric_quailty,positive,2,positive
gayet kaliteli bir beden büyük tercih etmeniz iyi olacaktır,fabric_quailty,positive,2,positive
cok rahat ve kaliteli bir urun dokusu ve görüntüsü çok güzel teşekkürler göründüğü gibi kumaşı da çok güzel fiyat performans ürünü güzel ve kaliteli duruşu çok şık ve güzel çok tarz ve güzel bir ürün,fabric_quailty,positive,2,positive
tam beden çok uzunda değil kısa boylular tercih edebilir günlükte kullanıyorum diz de yapmayan bir kumaş siyahını daha çok kullanıyorum ama bunuda sevdim,fabric_quailty,positive,2,positive
harika fotografta göründüğü gibi zaten kalitesi tartışılmaz,fabric_quailty,positive,2,positive
erkek arkadaşıma aldım çok tatlı bi rengi var ve kaliteli bi ürün,fabric_quailty,positive,2,positive
bedeninizi alın kaliteli güzel,fabric_quailty,positive,2,positive
kaliteli güzel ürün hızlı gönderdiler teşekkürler,fabric_quailty,positive,2,positive
ürün kalitesi çok güzel tavsiye ediyorum,fabric_quailty,positive,2,positive
eşime ilk defa bu mağazadan eşofman altı aldım gayet iyi paketleme ve nazik bir not ile gönderildi kalitesini çok beğendim teşekkür ederim tekrar alacağım,fabric_quailty,positive,2,positive
harika bir ürün süper kaliteli renk var bende,fabric_quailty,positive,2,positive
kalitesi çok güzel eşim boy kilo m beden aldık tam oturdu biraz bol isterseniz l beden alabilirsiniz fp ürünü,fabric_quailty,positive,2,positive
ürün rengi resimde olduğu gibi kumaşı ince dört gün sonra kargoya verildi elime geçmesi tam bir haftayı buldu babalar gününe yetişemedi,fabric_quailty,positive,2,positive
ürün gayet kaliteli hızlı kargo için teşekkürler,fabric_quailty,positive,2,positive
kumaşı çok güzel,fabric_quailty,positive,2,positive
kumaşı yumuşak,fabric_quailty,positive,2,positive
aşırı güzel kumaşı var tavsiye ederim fiyati uygun ve kaliteli tavsiye ederim güzel ve kaliteli tavsiye ederim çok güzel yumuşak ve kaliteli çok tarz pamuklu kumaşı var her zamanki gibi harika bir ürün,fabric_quailty,positive,2,positive
polo yaka penye bir t shirt altınyıldız diye aldım paraya zamana yazık asla kaliteli falan değil kenara attım poşette bekliyordu ihtiyacım oldu açtım penye tşirt zaman geçtiği içi geride gönderemedim,packaging,negative,0,negative
hem lekeli geldi hem yırtık,packaging,negative,0,negative
paketleme çok kötüydü,packaging,negative,0,negative
ürünü kontrol etmeden yırtık bir şekilde göndermişler,packaging,negative,0,negative
aynı üründen kez alıyorum ama böyle kötü paketleme ile ilk defa karşılaştım başkasının iade ettiği ürünü poşetini dahi değiştirmeden bana kargolamış satıcı bu ne düşüncesizlik ne özensizlik böyle sanki para verip satın almıyoruz da çöpe atar gibi ürün göndermişsiniz ayıptır,packaging,negative,0,negative
boya kiloyum l beden aldım beden olarak bir sıkıntı yoktu fakat duruşu ve kumaşı çok kötüydü ağ kısmı ön tarafta katlanıyordu ve kumaş naylon poşet giymiş gibi bir his verdi duruşu belki kilo ve beden yapımla alakalı olabilir ama kumaş kesinlikle çok kötüydü aynı markanın başka ürününü de aldım ama o bu kadar kötü bir malzemeden değildi i ade etmek durumunda kaldım çünkü evde bile giyeceğimi sanmıyordum paketleme vesaire gayet iyiydi üzülerek kumaş ve duruştan düşük puan veriyorum,packaging,neutral,1,positive
ürün kargo poşetinden ip çekilmiş şekilde çıktı,packaging,neutral,1,negative
oldukça kaliteli ürün boy kgyim l biraz bol kaldı ürüne alacak olanlar dikkat etsin paketleme gayet özenliydi tavsiye ederim,packaging,positive,2,positive
siz şakamısınız çok iyi paketleme çok iyi ürün bir tekstilci olarak söylüyorum hayran kaldım kalitenize özeninize kesinlikle tam beden alın ben doğum yaptım zayıflama aşamasındayım zayıfladıkça alacağım mükemmel,packaging,positive,2,positive
ürün resimde gördüğünüz gibi geldi ambalajı sağlam ve hızlı bir şekilde geldi,packaging,positive,2,positive
ürün görüldüğü ben beğendim boy kilo xl aldım biraz bol severim ben güzel oldu paketleme kargo iyi,packaging,positive,2,positive
daha kullanmadım ama paketlemesi ve dokusu cok güzeldi bunun için teşekkür etmek istedim,packaging,positive,2,positive
derya balta önerisiyle aldığım ilk kıyafet açıkçası ben beğendim boyum large aldım bacak boyu bilekte denildiği gibi kısa gelmedi teşekkür ederim satıcıya da hızlı gönderim güzel paketleme,packaging,positive,2,positive
ürün numara mağaza puan ancak eder tek seferde ürün aldım hepsi ayrı günde ayrı ayrı geldi işimiz gücümüz yok kargo poşeti yırtıyoruz,packaging,positive,2,negative
ürün çok kaliteli kargo hızlı geldi paketlemede güzeldi,packaging,positive,2,positive
teşekkürler paketleme güzel tavsiyeye ederim,packaging,positive,2,positive
henuz paketi acma fırsatım olmadı geldi ama daha once almıştım harika kalite de,packaging,positive,2,positive
kg l beden süper tam oturdu bu fiyata bu ürün bedava kesinlkle tavsiye ederim paketleme super teşekkür ederim,packaging,positive,2,positive
hızlı teslimat özenli paket elinize sağlık ürün ne kalın ne ince günlük kullanıma çok uygun cm kg xl tam oldu teşekkür ederim,packaging,positive,2,positive
hızlı kargo güzel paketleme ürün beklediğimiz gibi teşekkürler,packaging,positive,2,positive
ürün harika kesimi duruşu kumaşını çok beğendik bir tane daha aldık tam bedeninizi alın eşim beden l tam oldu kargo ve paketlemede iyiydi teşekkürler emeği geçen herkese,packaging,positive,2,positive
ürün kalitesini beğendim paketleme ve kargo güzeldi yaş kg boy tam oldu hatta hafiften boşluk bile var tavsiye ederim kesinlikle alın,packaging,positive,2,positive
kaliteli malzeme özenli paketleme ve hızlı kargo daha ne isteyeyim,packaging,positive,2,positive
çok kötü lcw ile uzaktan yakından alakası yok aynı bedenin laciverti bol grisi dar geldi kesimleri kötü hakkı fiyatının en fazla yarısı,price,negative,0,negative
tavsiye üzerine aldım ancak beğenmedim kumaşı çok ince tok durmuyor özellikle paçaları kötü duruyor ve bence boyu daha uzun olmalıydı i ade etmek istedim ancak kampanyalı alınan tüm ürünleri iade etmem gerekiyormuş bu sebeple vazgeçtim çünkü diğer ürünleri çoğunlukla beğenmiştim kampanya döneminde alanlar buna dikkat edebilir,price,negative,0,negative
çok ince ve basit bu fiyatı hak etmiyor laylon resmen,price,negative,0,negative
kalitesi kötü ince naylon kasım kampanyasından alınanları kalite gönderdiler,price,negative,0,negative
bir ay oldu alalı hemen araları açılıyor ucuz olabilir ama bir ayda bu kadar olmaz yani alacak olanlar ona göre alsın derim bol aldım dar felan da değil yani,price,negative,0,negative
fiyatına göre kaliteli değil artı bir beden büyüğü alınmalı,price,negative,0,negative
daha once bir cok urununu aldim fakat kalite iyice dusmus kesinlikle fiyatini hak etmiyor çok ince,price,negative,0,negative
fiyat performans kazağı derseniz evet ama kaşmir yumuşaklığı söz konusu değil bildiğiniz ince triko kazak i ndirim fiyatıyla gayet makul,price,neutral,1,positive
kumaşı cok güzel ve kaliteli fiyata göre ürün güzel tavsiye ederim göründüğü gibi kumaşı da gayet güzel boy kg xl tam oturdu xxl alsam daha rahat olurmuş,price,neutral,1,positive
kumaş kalitesini pek beğenmedim polyester oranı biraz yüksek fiyata göre idare eder,price,neutral,1,neutral
kumaş ve kalite çok iyi ben adet m beden aldım ancak beyaz rengi diğer renklere göre büyük geldi muhtemelen bedeni l bedendi ancak etiketini yanlış dikmişler diye düşünerek değişim talebinde bulundum bunu satıcıya izah ettim ve başka bir m beden göndermelerini istedim ancak ürünü değiştirmek yerine iade olarak kabul ettiler problem şu ki ben onu uygun bir fiyata almıştım şimdiyse fiyatı artmış durumdaydı allah tan hepsiburada yetkililere süreci çok iyi bir şekilde yönetip bana kupon tanımladılar ve aynı fiyata m bedenini tekrar aldım ve tahminim doğru çıktı ürün yanlış etiketlenmiş hepsiburada ya teşekkür ederim bu yaklaşımlarından dolayı altınyıldıza ise size gönderilen ürünlerin açıklamasını okumanızı tavsiye ederim bir puanıda altınyıldız nedeniyle kırdım,price,neutral,1,neutral
fiyatına göre çok iyi bir ürün bedeninizi alabilirsiniz,price,positive,2,positive
fiyatına göre iyi ürün teşekkürler kumaşı çok güzel severek giyiyorum,price,positive,2,positive
çok güzel geldi severek kullanıyorum kumaşı fiyatına göre kaliteli ve şık çok güzel yumuşak ve kaliteli cok rahat ve guzel bir urun,price,positive,2,positive
normalde beden giyiyorum aldım tam oldu fiyatına göre uygun dikişler kaliteli teşekkürler,price,positive,2,positive
çok güzel yumuşak kumaşı var güzel ürün uygun fiyatlı tavsiye ederim fiyatına göre ideal bir urun çok şık ve kumaşı harika çok güzel pamuklu bir kumaşı var çok tarz bir ürün tavsiye ederim,price,positive,2,positive
cok guzel yumusacik dokusu var fiyatina gore cok iyi bir urun tesekkurler,price,positive,2,positive
güzel kaliteli uygun fiyat teşekkürler hepsiburada ve altın yıldız a,price,positive,2,positive
çok kaliteli değil fiyat performans,price,positive,2,positive
tam bir fiyat performans ürünü,price,positive,2,positive
beden ölçünüz ne ise o beden tercihi yapın kumas kalitesi yeterli kalite indirimli fiyattan almisdim gönül rahatlığıyla tercih edebilirsiniz,price,positive,2,positive
ürün çok güzel kaliteli ve fiyatı da uygundu,price,positive,2,positive
kaliteli ama kumas ince beyaz camasir gysen gorunur indirimsiz fiyati pahali bu kadar etmez,price,positive,2,negative
kumaşı duruşu çok güzel bu fiyata tavsiye,price,positive,2,positive
